Chr	Gene_ID	Product description	Gene Identification	MIS	MFS	# of insertions in CDS	# of nor malized reads (raw)	Note*	# of TTAA in CDS	TTAA density in CDS	transcript length	geneStart	endStart	gene strand	Ortholog count	Paralog count	NonSyn/Syn SNP Ratio	GO Processes	GO Functions	GO Components		
chr4	PF3D7_0409100	"U4/U6 small nuclear ribonucleoprotein PRP31, putative"	Non - Mutable in CDS	0.125	-3.04	0	13.02		23	14.33	1605	436152	437916	-	19	0	2.4	N/A	N/A	spliceosomal complex		
chr4	PF3D7_0409200	"protein SOF1, putative"	Non - Mutable in CDS	0.198	-2.798	0	5.72		17	11.73	1449	438822	440270	+	18	0	1.43	N/A	N/A	"nucleolus, small-subunit processome"		
chr4	PF3D7_0409300	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.654	-3.042	1	27.01		52	17.14	3033	440903	444177	-	38	2	3.63	N/A	N/A	N/A		
chr4	PF3D7_0409400	chaperone protein DnaJ	Mutable in CDS	1	-0.609	2	84.08		26	12.88	2019	445935	447953	+	18	0	0.92	response to heat	"DNA replication origin binding, unfolded protein binding"	apicoplast		
chr4	PF3D7_0409500	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.127	-2.948	0	5.96		17	14.2	1197	449124	450568	-	18	0	1.2	N/A	N/A	N/A		
chr4	PF3D7_0409600	"replication protein A1, large subunit"	Non - Mutable in CDS	0.434	-2.586	0	15.91		33	9.6	3438	452069	455506	-	18	0	1.92	"DNA-dependent DNA replication, regulation of DNA metabolic process"	N/A	DNA replication factor A complex		
chr4	PF3D7_0409700	peptide chain release factor 2	Non - Mutable in CDS	0.134	-2.626	0	3.96		8	13.68	585	456857	457955	+	18	0	1	N/A	N/A	cytoplasm		
chr4	PF3D7_0409800	"zinc finger protein, putative"	Non - Mutable in CDS	0.119	-3.047	0	17.81		27	15.62	1728	459645	461372	+	18	0	2.44	N/A	N/A	N/A		
chr4	PF3D7_0409900	"actin-like protein, putative"	Mutable in CDS	0.783	-2.424	1	22.65		20	15.99	1251	461926	463892	-	18	0	2.6	cytoskeleton organization	structural constituent of cytoskeleton	actin cytoskeleton		
chr4	PF3D7_0410000	erythrocyte vesicle protein 1	Mutable in CDS	0.859	-2.864	1	19.07		38	15.19	2502	464667	467274	-	17	0	2.19	N/A	N/A	"host cell cytoplasmic vesicle, host cell cytosol"		
chr4	PF3D7_0410300	"protein phosphatase PPM1, putative"	Mutable in CDS	1	-2.399	2	32.07		31	11.39	2721	470463	473531	-	11	0	6.29	protein dephosphorylation	N/A	"cytoplasm, nucleus"		
chr4	PF3D7_0410400	"exosome complex component RRP4, putative"	Non - Mutable in CDS	0.154	-2.939	0	3.38		13	12.78	1017	474477	475493	+	18	0	0.86	rRNA processing	3'-5'-exoribonuclease activity	exosome (RNase complex)		
chr4	PF3D7_0410500	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.119	-2.819	0	0.93		10	15.58	642	475879	476520	-	18	0	1.6	N/A	N/A	N/A		
chr4	PF3D7_0410600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.16	-3.223	0	17.74		19	19.37	981	478963	480403	+	18	0	1	N/A	N/A	N/A		
chr4	PF3D7_0410700	"ribosome biogenesis GTPase A, putative"	Non - Mutable in CDS	0.177	-2.785	0	24.76		33	12.15	2715	481112	483826	-	18	0	5.07	N/A	GTP binding	apicoplast		
chr4	PF3D7_0410800	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.131	-2.926	0	31.22		54	13.86	3897	485767	489663	+	18	0	3.54	N/A	N/A	N/A		
chr4	PF3D7_0410900	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.996	-2.419	1	12.02		33	11.25	2934	490377	493310	-	18	0	10.6	N/A	N/A	N/A		
chr4	PF3D7_0411000	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.426	4	75.67		63	13.37	4713	499103	503815	+	18	0	2.93	N/A	N/A	apicoplast		
chr4	PF3D7_0411100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.12	-3.056	0	5.33		10	16.18	618	504413	505030	-	17	0	1	N/A	N/A	N/A		
chr4	PF3D7_0411200	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.122	-2.96	0	34.3		55	14.71	3738	505868	509605	-	18	0	1.95	N/A	N/A	apicoplast		
chr4	PF3D7_0411300	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.142	-3.128	0	13.73		40	18.44	2169	510315	512483	+	18	0	2.59	N/A	N/A	N/A		
chr4	PF3D7_0411400	"DEAD box ATP-dependent RNA helicase, putative"	Non - Mutable in CDS	0.146	-3.217	0	26.17		73	18.65	3915	513089	517003	-	18	0	2.45	RNA metabolic process	ATP-dependent RNA helicase activity	N/A		
chr4	PF3D7_0411700	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.27	0.191	1	156.72		9	21.58	417	518620	519036	-	17	0	7	N/A	N/A	N/A		
chr4	PF3D7_0411800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.235	6	698.14		72	12.44	5787	519767	525553	-	19	0	3.63	N/A	N/A	N/A		
chr4	PF3D7_0411900	DNA polymerase alpha catalytic subunit A	Non - Mutable in CDS	0.13	-2.963	0	37.46		80	13.94	5739	528127	534420	-	18	0	1.64	N/A	DNA-directed DNA polymerase activity	alpha DNA polymerase:primase complex		
chr4	PF3D7_0412000	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.967	-2.729	1	17.32		31	13.26	2337	536711	539047	+	18	0	3.21	N/A	N/A	N/A		
chr4	PF3D7_0412100	"mitochondrial ribosomal protein S12 precursor, putative"	Non - Mutable in CDS	0.385	-2.485	0	7.42		10	9.89	1011	540125	541135	-	29	1	5.6	translation	structural constituent of ribosome	small ribosomal subunit		
chr4	PF3D7_0412200	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	1	-1.531	0	1.73	tentative	4	4	999	541748	542746	-	19	0	1.5	N/A	N/A	N/A		
chr4	PF3D7_0412300	"phosphopantothenoylcysteine synthetase, putative"	Mutable in CDS	0.98	-2.835	2	30.28		31	19.1	1623	543562	545184	+	20	1	3.22	N/A	N/A	N/A		
chr4	PF3D7_0412400	"erythrocyte membrane protein 1, PfEMP1"	Non - Mutable in CDS	0.999	-1.817	0	15	tentative	34	5.13	6630	545924	553747	-	204	98	5.15	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation, single organismal cell-cell adhesion"	cell adhesion molecule binding	"host cell plasma membrane, infected host cell surface knob"		
chr4	PF3D7_0412600	"rifin, pseudogene"	Non - Mutable in CDS	0.196	-2.544	0	7.39		12	11.76	1020	559324	560575	-	597	183	5.88	N/A	N/A	N/A		
chr4	PF3D7_0412700	"erythrocyte membrane protein 1, PfEMP1"	Mutable in CDS	1	1.497	4	397.76		29	4.24	6834	561604	569279	-	204	98	5.3	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation, single organismal cell-cell adhesion"	cell adhesion molecule binding	"host cell plasma membrane, infected host cell surface knob"		
chr4	PF3D7_0412900	"erythrocyte membrane protein 1, PfEMP1"	Mutable in CDS	1	-1.74	1	12.94		32	4.61	6939	576747	584605	-	204	98	4.14	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation, single organismal cell-cell adhesion"	cell adhesion molecule binding	"host cell plasma membrane, infected host cell surface knob"		
chr4	PF3D7_0413100	"erythrocyte membrane protein 1, PfEMP1"	Mutable in CDS	1	-1.604	1	24.48		34	4.87	6981	591886	599786	-	204	98	4.73	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation, single organismal cell-cell adhesion"	cell adhesion molecule binding	"host cell plasma membrane, infected host cell surface knob"		
chr4	PF3D7_0413200	rifin	Non - Mutable in CDS	0.79	-2.403	0	2.16		9	7.96	1131	603103	604393	-	597	183	3.98	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr4	PF3D7_0413300	rifin	Non - Mutable in CDS	0.432	-2.453	0	2.48		10	9.61	1041	609092	610370	+	597	183	3.4	"antigenic variation, cytoadherence to microvasculature, mediated by symbiont protein, modulation by symbiont of host erythrocyte aggregation"	N/A	"Maurer's cleft, host cell plasma membrane, symbiont-containing vacuole"		
chr4	PF3D7_0413400	"erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene"	Non - Mutable in CDS	0.997	-2.031	0	5.08	tentative	7	5.53	1266	612735	614006	+	1	0	3.92	N/A	N/A	N/A		
chr4	PF3D7_0413500	phosphoglucomutase-2	Non - Mutable in CDS	0.119	-3.017	0	6.95		14	15.77	888	615293	616180	+	18	0	0.57	glycolytic process	phosphoglycerate mutase activity	cytoplasm		
chr4	PF3D7_0413600	"26S protease regulatory subunit 6B, putative"	Non - Mutable in CDS	0.191	-2.71	0	0.79		14	11.87	1179	616851	618287	-	18	0	0.5	"proteasome regulatory particle assembly, ubiquitin-dependent protein catabolic process"	ATPase activity	"proteasome regulatory particle, base subcomplex"		
chr4	PF3D7_0413700	"lysine decarboxylase-like protein, putative"	Mutable in CDS	0.971	-2.569	2	24.11		20	19.67	1017	619723	620739	-	17	0	1	N/A	N/A	N/A		
chr4	PF3D7_0413800	"50S ribosomal protein L10, putative"	Non - Mutable in CDS	0.152	-3.165	0	9.61		16	18.98	843	622031	622873	+	18	0	2	N/A	structural constituent of ribosome	"apicoplast, ribosome"		
chr4	PF3D7_0413900	"ubiquitin carboxyl-terminal hydrolase 13, putative"	Non - Mutable in CDS	0.121	-2.916	0	17.67		38	14.83	2562	623105	626163	-	18	0	1.13	ubiquitin-dependent protein catabolic process	ubiquitin thiolesterase activity	proteasome complex		
chr4	PF3D7_0414000	"structural maintenance of chromosomes protein 3, putative"	Non - Mutable in CDS	0.142	-3.134	0	28.09		66	18.43	3582	626828	633063	-	18	0	1.33	N/A	N/A	N/A		
chr4	PF3D7_0414100	"conserved Plasmodium membrane protein, unknown function"	Mutable in CDS	0.261	-2.488	1	171.71		97	21.76	4458	633966	638842	-	18	0	4	N/A	N/A	apicoplast		
chr4	PF3D7_0414200.1	calmodulin-like protein	Non - Mutable in CDS	0.131	-3.125	0	3.88	tentative	8	17.66	453	647328	648327	-	19	1	0.4	N/A	N/A	N/A		
chr4	PF3D7_0414300	"Rab5-interacting protein, putative"	Non - Mutable in CDS	0.59	-2.141	0	1.04	tentative	3	8.85	339	649832	650670	-	14	0	0	N/A	N/A	N/A		
chr4	PF3D7_0414400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.945	2	66.14		13	13.09	993	652289	653493	+	18	0	5.5	N/A	N/A	N/A		
chr4	PF3D7_0414500	"RNA-binding protein, putative"	Mutable in CDS	0.992	-2.762	1	4.51		13	11.9	1092	654964	657253	-	16	0	0.8	RNA metabolic process	nucleic acid binding	N/A		
chr4	PF3D7_0414600	"conserved Apicomplexan protein, unknown function"	Non - Mutable in CDS	0.677	-2.209	0	4.65		6	8.47	708	658559	659477	-	18	0	2	N/A	N/A	microneme		
chr4	PF3D7_0414700	"GTP-binding protein, putative"	Mutable in CDS	0.951	-0.11	1	245.55		26	13.71	1896	660563	662458	+	18	0	2.5	N/A	GTP binding	apicoplast		
chr4	PF3D7_0414800	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	0.483	3	194.58		9	15	600	663355	663954	-	11	0	6	N/A	N/A	N/A		
chr4	PF3D7_0414900	armadillo-domain containing rhoptry protein	Non - Mutable in CDS	0.682	-2.214	0	2.77		7	8.45	828	665912	668086	+	18	0	1	N/A	DNA binding	"anchored component of membrane, cytosol, nucleus, rhoptry"		
chr4	PF3D7_0415000	"arsenical pump-driving ATPase, putative"	Non - Mutable in CDS	0.158	-3.251	0	10.47		22	19.3	1140	668517	669656	-	18	0	0.4	ion transport	arsenite-transmembrane transporting ATPase activity	membrane		
chr4	PF3D7_0415100	"conserved protein, unknown function"	Non - Mutable in CDS	0.133	-2.806	0	10.76		17	13.69	1242	670822	672063	+	18	0	2.8	N/A	N/A	N/A		
chr4	PF3D7_0415200	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.623	13	730.61		87	13.1	6639	672439	679077	-	18	0	4.36	N/A	N/A	N/A		
chr4	PF3D7_0415300	cdc2-related protein kinase 3	Non - Mutable in CDS	0.138	-2.825	0	27.89		54	13.43	4020	681749	685907	+	18	0	1.72	protein phosphorylation	"histone deacetylase activity, protein kinase activity"	N/A		
chr4	PF3D7_0415400	"coatomer subunit zeta, putative"	Non - Mutable in CDS	0.13	-3.262	0	3.36		11	17.54	627	686353	686979	-	18	0	0.57	"retrograde vesicle-mediated transport, Golgi to ER"	N/A	COPI vesicle coat		
chr4	PF3D7_0415500	"nuclear cap-binding protein subunit 2, putative"	Non - Mutable in CDS	0.996	0	0	0	tentative	4	5.67	705	688131	688992	+	18	0	2.33	N/A	N/A	N/A		
chr4	PF3D7_0415600	GTP:AMP phosphotransferase	Mutable in CDS	0.91	-2.385	1	6.67		10	14.49	690	689579	690268	-	18	0	1.75	nucleobase-containing compound metabolic process	"adenylate kinase activity, nucleoside triphosphate adenylate kinase activity"	mitochondrial matrix		
chr4	PF3D7_0415700	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.122	-3	0	9.91		23	16.59	1386	691070	692455	-	18	0	2.13	N/A	N/A	apicoplast		
chr4	PF3D7_0415800	"RING zinc finger protein, putative"	Mutable in CDS	1	-0.641	5	258.14		33	12.56	2628	693845	696472	+	11	0	5.86	N/A	zinc ion binding	N/A		
chr4	PF3D7_0415900	"60S ribosomal protein L15, putative"	Non - Mutable in CDS	0.123	-2.823	0	3.46		9	14.56	618	697857	698707	-	18	0	1	translation	structural constituent of ribosome	ribosome		
chr4	PF3D7_0416000	"RNA-binding protein, putative"	Mutable in CDS	1	0.692	9	675.24		21	12.07	1740	701465	704101	-	18	0	4.25	N/A	RNA binding	N/A		
chr4	PF3D7_0416100	glutamyl-tRNA(Gln) amidotransferase subunit A	Non - Mutable in CDS	0.164	-2.831	0	17.67		31	12.49	2481	706468	708948	+	18	0	2.69	glutaminyl-tRNAGln biosynthesis via transamidation	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	"apicoplast, glutamyl-tRNA(Gln) amidotransferase complex"		
chr4	PF3D7_0416200	"conserved protein, unknown function"	Non - Mutable in CDS	0.431	-2.452	0	14.92		6	9.62	624	709399	710022	-	17	0	3	N/A	N/A	N/A		
chr4	PF3D7_0416300	"DNA helicase MCM9, putative"	Mutable in CDS	1	-2.279	5	45.05		43	9.78	4398	711031	715428	-	19	0	5.54	DNA replication initiation	DNA-dependent ATPase activity	N/A		
chr4	PF3D7_0416400	"histone acetyltransferase, putative"	Non - Mutable in CDS	0.401	-2.625	0	18.44		37	9.79	3780	718142	722594	+	18	0	2.86	N/A	N/A	N/A		
chr4	PF3D7_0416500	"repressor of RNA polymerase III transcription MAF1, putative"	Non - Mutable in CDS	0.134	-2.987	0	5.52		16	13.68	1170	723013	724182	-	17	0	11	N/A	N/A	N/A		
chr4	PF3D7_0416600	"prohibitin-like protein, putative"	Non - Mutable in CDS	0.12	-2.978	0	7.66		13	15.05	864	726207	727070	+	18	0	5.33	N/A	N/A	N/A		
chr4	PF3D7_0416700	"CDGSH iron-sulfur domain-containing protein, putative"	Mutable in CDS	0.987	1.286	2	334.99		5	18.52	270	727652	727921	-	16	0	0	N/A	N/A	mitochondrion		
chr4	PF3D7_0416800	small GTP-binding protein sar1	Non - Mutable in CDS	0.131	-2.831	0	3.26		8	13.82	579	729903	731164	+	18	0	0	N/A	N/A	"Maurer's cleft, endoplasmic reticulum"		
chr4	PF3D7_0416900	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.227	-2.747	0	38.33		82	11.28	7269	732393	739813	-	19	0	4.03	N/A	N/A	N/A		
chr4	PF3D7_0417000	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.262	-2.667	0	4.53		9	10.87	828	742090	743032	+	10	0	5.5	N/A	N/A	apicoplast		
chr4	PF3D7_0417100	mRNA-binding protein PUF2	Mutable in CDS	1	0.504	5	514.26		24	15.53	1545	743552	745578	-	18	0	6.5	negative regulation of translation	RNA binding	cytoplasm		
chr4	PF3D7_0417200	bifunctional dihydrofolate reductase-thymidylate synthase	Non - Mutable in CDS	0.125	-3.031	0	13.1		31	16.97	1827	748029	749855	+	18	0	5.5	"dTMP biosynthetic process, glycine biosynthetic process, response to drug"	"RNA binding, dihydrofolate reductase activity, thymidylate synthase activity"	cytoplasm		
chr4	PF3D7_0417300	"LETM1-like protein, putative"	Mutable in CDS	0.291	-3.298	1	17.99		51	21.17	2409	750801	753653	-	18	0	3.09	N/A	N/A	apicoplast		
chr4	PF3D7_0417400	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.17	-2.817	0	114.79		250	12.31	20310	756235	776544	+	20	0	6.25	N/A	N/A	N/A		
chr4	PF3D7_0417500.1	memo-like protein	Non - Mutable in CDS	0.353	-2.456	0	5.2		9	10.1	891	777141	779365	-	18	0	2.33	N/A	N/A	N/A		
chr4	PF3D7_0417600	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.07	5	512.03		37	15.26	2424	780191	783187	-	20	0	4.65	N/A	N/A	N/A		
chr4	PF3D7_0417700	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.121	-2.858	0	21.41		23	14.92	1542	784135	786371	+	20	0	5.33	N/A	N/A	N/A		
chr4	PF3D7_0417800	cdc2-related protein kinase 1	Mutable in CDS	1	-2.585	3	26.14		26	12.38	2100	787184	789283	-	18	0	2.93	protein phosphorylation	protein kinase activity	N/A		
chr4	PF3D7_0417900	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-0.805	5	149.02		29	12.82	2262	790665	792926	+	18	0	13.33	N/A	N/A	N/A		
chr4	PF3D7_0418000	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-1.427	14	441.83		171	11.65	14676	793768	810011	+	19	0	3.37	N/A	N/A	N/A		
chr4	PF3D7_0418100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.23	-2.648	0	21.49		41	11.24	3648	810936	814583	-	18	0	5	N/A	N/A	N/A		
chr4	PF3D7_0418200	"eukaryotic translation initiation factor 3 subunit M, putative"	Non - Mutable in CDS	0.121	-3.135	0	9.91		21	16.28	1290	817341	818630	+	18	0	0.8	N/A	translation initiation factor activity	eukaryotic translation initiation factor 3 complex		
chr4	PF3D7_0418300	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	0.944	4	543.85		21	7.05	2979	819303	822281	-	18	0	1.94	N/A	N/A	N/A		
chr4	PF3D7_0418400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.289	-0.873	1	97.47		7	21.21	330	829905	830536	+	18	0	3	N/A	N/A	N/A		
chr4	PF3D7_0418500	"trafficking protein particle complex subunit 3, putative"	Non - Mutable in CDS	0.12	-3.04	0	2.29		9	15.96	564	830931	832370	-	18	0	0.67	ER to Golgi vesicle-mediated transport	transporter activity	Golgi apparatus		
chr4	PF3D7_0418600	"regulator of chromosome condensation, putative"	Mutable in CDS	1	-2.628	3	62.88		72	11.93	6036	834336	840371	+	18	0	3.22	N/A	N/A	N/A		
chr4	PF3D7_0418700	"RNA-binding protein NOB1, putative"	Non - Mutable in CDS	0.119	-2.985	0	14.36		27	15.79	1710	841138	842847	+	18	0	8.88	N/A	N/A	N/A		
chr4	PF3D7_0418800	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.341	-2.465	0	1.73		8	10.18	786	843504	845111	+	18	0	1.33	N/A	N/A	crystalloid		
chr4	PF3D7_0418900	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.197	-2.694	0	5.56		14	11.75	1191	847173	849001	+	18	0	2.67	N/A	N/A	N/A		
chr4	PF3D7_0419000	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.223	-2.463	0	7.73		15	11.34	1323	849735	852184	+	17	0	2.43	N/A	N/A	N/A		
chr4	PF3D7_0419100	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.143	-2.913	0	9.31		11	13.19	834	852452	853508	+	18	0	3	N/A	N/A	N/A		
chr4	PF3D7_0419200	"protein transport protein GOT1, putative"	Non - Mutable in CDS	0.125	-3.136	0	2.96	tentative	7	17.03	411	854821	855231	+	18	0	0	N/A	N/A	N/A		
chr4	PF3D7_0419300	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.164	-2.853	0	6.48		13	12.49	1041	855840	856991	-	17	0	2.33	N/A	N/A	N/A		
chr4	PF3D7_0419400	"conserved Plasmodium protein, unknown function"	Mutable in CDS	1	-2.128	9	139.16		102	13.75	7419	857940	865899	+	18	0	3.35	N/A	N/A	N/A		
chr4	PF3D7_0419500	"conserved Plasmodium membrane protein, unknown function"	Mutable in CDS	1	-1.237	4	99.06		25	15.52	1611	866443	868053	-	18	0	1.43	N/A	N/A	N/A		
chr4	PF3D7_0419600	"ran-specific GTPase-activating protein 1, putative"	Mutable in CDS	0.998	-1.968	1	8.95		9	10.68	843	870679	871815	+	18	0	9.5	"RNA export from nucleus, protein import into nucleus"	Ran GTPase binding	N/A		
chr4	PF3D7_0419700	apical merozoite protein	Non - Mutable in CDS	0.315	-3.44	0	15.84		23	23.52	978	873080	874057	+	17	0	3.25	N/A	N/A	"anchored component of plasma membrane, rhoptry"		
chr4	PF3D7_0419800	"60S ribosomal protein L7ae/L30e, putative"	Non - Mutable in CDS	0.208	-3.3	0	9.34		15	21.1	711	874753	875463	-	17	0	1.5	translation	structural constituent of ribosome	ribosome		
chr4	PF3D7_0419900	"phosphatidylinositol 4-kinase, putative"	Non - Mutable in CDS	0.12	-3.011	0	120.14		229	15.16	15108	877962	893806	+	18	0	4.48	N/A	phosphatidylinositol kinase activity	N/A		
chr4	PF3D7_0420000	"zinc finger protein, putative"	Mutable in CDS	1	-1.265	11	352.08		119	11.77	10113	894552	904664	-	17	0	5.62	N/A	N/A	N/A		
chr4	PF3D7_0420100	serine/threonine protein kinase RIO2	Non - Mutable in CDS	0.125	-2.981	0	12.35		25	14.32	1746	906996	908741	+	18	0	3.13	N/A	N/A	N/A		
chr4	PF3D7_0420200	"holo-[acyl-carrier-protein] synthase, putative"	Non - Mutable in CDS	0.234	-2.64	0	11.99		20	11.2	1785	910127	911911	+	18	0	1.76	fatty acid biosynthetic process	N/A	apicoplast		
chr4	PF3D7_0420300	transcription factor with AP2 domain(s)	Non - Mutable in CDS	0.401	-2.563	0	64.14		102	9.79	10422	917925	928346	+	18	0	4.34	N/A	N/A	N/A		
chr4	PF3D7_0420400	ribosome-recycling factor	Non - Mutable in CDS	0.164	-2.754	0	1.59		10	12.48	801	929275	930075	+	18	0	2	ribosome disassembly	N/A	"cytosol, mitochondrion"		
chr4	PF3D7_0420500	"conserved Plasmodium protein, unknown function"	Mutable in CDS	0.962	-0.762	1	56.31		8	13.4	597	930339	931543	-	18	0	0.4	N/A	N/A	N/A		
chr4	PF3D7_0420600	"conserved Plasmodium protein, unknown function"	Non - Mutable in CDS	0.143	-3.265	0	14.15		33	18.52	1782	932398	934179	+	18	0	2.1	N/A	N/A	N/A		
